DOY,Temperature,PARi,PP,PET,eta,lai,gcut_height,grazing_animal_count,grazing_avg_animal_weight
36,8.176020833,1.36196025,0.969,0.489390677,0,0,0,0,0
37,7.299291667,0.710355,18.122,0.253859015,0,0,0,0,0
38,5.053125,1.65777975,3.57,0.59304059,0,0,0,0,0
39,1.895583333,1.85157825,0,0.62215505,0,0,0,0,0
40,1.762666667,1.4405475,7.089,0.425726581,0,0,0,0,0
41,1.983791667,0.9223575,4.828,0.251074811,0,0,0,0,0
42,-1.842375,2.266203,0,0.669222463,0,0,0,0,0
43,-2.12075,1.2625425,0,0.494480766,0,0,0,0,0
44,-3.880375,3.4698975,0,0.831174673,0,0,0,0,0
45,-0.4590625,3.50287725,0,1.132424191,0,0,0,0,0
46,7.975208333,2.97742275,0.085,1.470767275,0,0,0,0,0
47,8.574666667,3.32535225,0.187,1.85144058,0,0,0,0,0
48,9.734458333,4.37022,0,1.830338668,0,0,0,0,0
49,11.4781875,2.9988675,1.649,2.269146909,0,0,0,0,0
50,10.86875,3.271872,0.136,1.535294353,0,0,0,0,0
51,12.98104167,4.1631,0,2.724603364,0,0,0,0,0
52,13.239375,4.4777325,0,3.089498529,0,0,0,0,0
53,14.38666667,2.759475,0,2.30215288,0,0,0,0,0
54,14.24666667,3.69119775,0,2.046487147,0,0,0,0,0
55,12.05745833,4.56862725,0,1.937044443,0,0,0,0,0
56,11.92939583,4.60747725,0,2.187849083,0,0,0,0,0
57,5.936020833,0.9550425,0.238,0.357863428,0,0,0,0,0
58,5.62325,5.3622,0,1.930537678,0,0,0,0,0
59,4.175458333,5.2595475,0.051,1.714236474,0,0,0,0,0
60,7.953645833,5.44797525,0.051,2.382382536,0,0,0,0,0
61,8.717541667,4.598973,0,1.792081267,0,0,0,0,0
62,6.869458333,3.3817005,0,1.228049474,0,0,0,0,0
63,8.1751875,2.90500275,0,1.184951848,0,0,0,0,0
64,4.803895833,1.5060255,0,0.607919132,0,0,0,0,0
65,3.516645833,5.847525,0,1.778259001,0,0,0,0,0
66,4.151291667,3.3071505,0.051,1.08137049,0,0,0,0,0
67,4.576791667,5.74757475,0,1.91534941,0,0,0,0,0
68,1.9265,5.76164775,0,1.814420613,0,0,0,0,0
69,4.9365625,5.6558775,0.238,2.259417011,0,0,0,0,0
70,10.35916667,2.36079225,6.528,1.490673739,0,0,0,0,0
71,7.7545625,4.7121525,1.598,1.838446304,0,0,0,0,0
72,7.7170625,2.56120275,8.874,1.275794484,0,0,0,0,0
73,5.8711875,4.8465,1.241,1.781311409,0,0,0,0,0
74,6.69475,1.75199775,11.509,0.631332018,0,0,0,0,0
75,6.391829787,3.144687319,1.241,1.01765811,0,0,0,0,0
76,6.730395833,2.06369775,1.19,0.883741392,0,0,0,0,0
77,3.924708333,2.28337725,0.136,0.712774711,0,0,0,0,0
78,3.701375,2.66523,6.12,0.848043961,0,0,0,0,0
79,2.8673125,7.11831975,0.017,2.17088196,0,0,0,0,0
80,2.462916667,2.6691825,0.068,0.810717567,0,0,0,0,0
81,4.344479167,5.05520025,0,1.505968069,0,0,0,0,0
82,5.517125,7.5291795,0.034,2.562912755,0,0,0,0,0
83,8.25925,7.63715025,0.017,3.083609913,0,0,0,0,0
84,8.4374375,4.43767275,0,1.573669906,0,0,0,0,0
85,9.763770833,5.670252,0.051,2.372915572,0,0,0,0,0
86,7.372791667,6.984447,0.748,2.441410335,0,0,0,0,0
87,8.048125,7.879605,0.017,2.936096963,0,0,0,0,0
88,12.142625,7.674345,0,3.510218833,0,0,0,0,0
89,13.3545,8.11777275,0,3.567178041,0,0,0,0,0
90,15.21929167,8.022948,0,3.594517294,0,0,0,0,0
91,14.2270625,7.94710275,0,3.567921813,0,0,0,0,0
92,13.088125,7.2396,0,3.440250845,0,0,0,0,0
93,6.9164375,8.3166525,0,3.039276034,0,0,0,0,0
94,7.418104167,8.52192525,0.017,3.225490796,0,0,0,0,0
95,7.035645833,7.700325,0.221,3.0227202,0,0,0,0,0
96,2.9275,5.8570725,0,2.091579418,0,0,0,0,0
97,3.167666667,8.42399775,0,2.57785763,0,0,0,0,0
98,4.860895833,8.86835025,0,3.193576367,0,0,0,0,0
99,12.09377083,6.641493,0.119,3.24711555,0,0,0,0,0
100,11.3875,2.518095,4.046,1.274434004,0,0,0,0,0
101,7.698770833,1.53803775,10.591,0.487840846,0,0,0,0,0
102,5.0865,6.77229225,0.051,2.029386822,0,0,0,0,0
103,3.731895833,6.08537025,0.017,1.902849442,0,0,0,0,0
104,4.810065217,9.137347826,0,3.167215555,0,0,0,0,0
105,4.380604167,7.78717275,0,2.78707278,0,0,0,0,0
106,4.342208333,7.76675775,0,2.725948159,0,0,0,0,0
107,6.471791667,5.22097275,0,2.024741051,0,0,0,0,0
108,7.795979167,6.6078225,0,2.391056654,0,0,0,0,0
109,8.343625,8.37219975,0,3.037765247,0,0,0,0,0
110,9.079770833,5.8275975,0,2.444019429,0,0,0,0,0
111,10.87235417,8.20400025,0,3.143475543,0,0,0,0,0
112,11.8569375,8.36505525,0.051,3.453141038,0,0,0,0,0
113,12.49495833,10.081278,0,4.380730922,0,0,0,0,0
114,14.61570833,9.781473,0,4.554413657,0,0,0,0,0
115,14.75575,7.81194975,0,3.921134667,0,0,0,0,0
116,13.59,5.5943505,0,2.669704943,0,0,0,0,0
117,13.6519375,9.8562,0,4.056078276,0,0,0,0,0
118,11.86583333,2.25929775,8.398,0.867871906,0,0,0,0,0
119,11.05189583,7.22904975,0,2.5883118,0,0,0,0,0
120,10.38727083,5.94037275,3.876,2.107135228,0,0,0,0,0
121,8.544166667,4.2021975,4.046,1.336410108,0,0,0,0,0
122,7.156,8.35247475,0.17,2.673898457,0,0,0,0,0
123,9.344541667,10.63657275,0.034,4.121404519,0,0,0,0,0
124,11.366875,3.62270325,3.502,2.121460198,0,0,0,0,0
125,9.843416667,8.78460225,5.185,3.078307452,0,0,0,0,0
126,10.457,4.1074995,11.084,1.600649759,0,0,0,0,0
127,11.35,7.4875245,0.493,2.776398334,0,0,0,0,0
128,16.783125,9.43812225,0,4.223632717,0,0,0,0,0
129,20.69270833,6.808545,0,4.576810469,0,0,0,0,0
130,13.53916667,7.43247525,9.01,2.805009932,0,0,0,0,0
131,9.831083333,5.32097025,3.961,1.669252922,0,0,0,0,0
132,10.589875,6.3561795,1.717,2.247591402,0,0,0,0,0
133,10.76575,7.92495525,7.344,2.57777462,0,0,0,0,0
134,10.6189375,6.719925,0.646,2.355300102,0,0,0,0,0
135,11.20375,3.66110475,3.485,1.42154976,0,0,0,0,0
136,12.45958333,6.67970025,10.302,2.767875093,0,0,0,0,0
137,11.67020833,8.356425,7.327,2.941118784,0,0,0,0,0
138,10.18395833,5.981598,3.638,1.914703634,0,0,0,0,0
139,10.85133333,7.6166505,2.788,2.656151891,0,0,0,0,0
140,12.357,9.346497,0,3.56527555,0,0,0,0,0
141,12.62041667,4.4251005,3.842,1.92708266,0,0,0,0,0
142,10.06414583,5.7224265,3.774,1.984572332,0,0,0,0,0
143,11.646375,8.28632775,0.306,2.994491858,0,0,0,0,0
144,11.82729167,6.61073025,1.292,2.833786162,0,0,0,0,0
145,11.75595833,8.93704725,0.34,3.475125245,0,0,0,0,0
146,12.46604167,5.451678,0,2.487734719,0,0,0,0,0
147,14.46041667,9.38915475,0,3.609001324,0,0,0,0,0
148,15.4499375,11.425347,0.017,4.708293586,0,0,0,0,0
149,17.64229167,11.53150275,0,4.915074316,0,0,0,0,0
150,16.1718125,11.38322025,0,4.749016848,0,0,0.05,0,0
151,16.69389583,12.06792975,0,5.105005709,0,0,0,0,0
152,20.085625,11.52597525,0,5.435899306,0,0,0,0,0
153,19.88729167,6.60659475,0,2.916461549,0,0,0,0,0
154,21.37270833,9.571002,0,4.331887394,0,0,0,0,0
155,18.100625,5.5956525,2.771,2.43694501,0,0,0,0,0
156,14.75520833,4.9483245,2.992,1.63412324,0,0,0,0,0
157,14.31583333,4.300803,0.051,1.568516278,0,0,0,0,0
158,17.838125,6.94185225,0,2.830486204,0,0,0,0,0
159,18.30229167,10.3430505,0.051,4.336886565,0,0,0,0,0
160,18.93770833,11.091075,0,4.72494874,0,0,0,0,0
161,20.10458333,11.57505,0,5.1619061,0,0,0,0,0
162,21.35145833,11.104875,0,5.081322243,0,0,0,0,0
163,22.07604167,10.67318025,0.034,4.817982108,0,0,0,0,0
164,22.073125,11.746368,0.017,5.37473277,0,0,0,0,0
165,22.58375,12.20934975,0.017,5.638831808,0,0,0,0,0
166,22.68479167,12.0663,0,5.55447053,0,0,0,0,0
167,24.65770833,10.3870245,0,5.190953696,0,0,0,0,0
168,23.39791667,6.92820975,0.612,3.618300054,0,0,0,0,0
169,22.80041667,10.61732475,0,5.349726037,0,0,0,0,0
170,21.083125,7.8454005,3.468,3.924347743,0,0,0,0,0
171,16.89395833,4.1677275,18.594,1.424936743,0,0,0,0,0
172,17.53645833,5.9321955,6.511,2.472802141,0,0,0,0,0
173,15.96770833,6.86559975,7.973,2.630049141,0,0,0,0,0
174,16.89854167,6.22591725,0.527,2.459161092,0,0,0,0,0
175,15.31083333,3.7882275,0,1.570053371,0,0,0,0,0
176,16.70083333,9.48784725,0.068,3.983600746,0,0,0,0,0
177,18.783125,9.905127,0,4.583677013,0,0,0,0,0
178,18.26125,3.86189775,3.315,1.671295317,0,0,0,0,0
179,17.27270833,6.33639975,19.873,2.50502301,0,0,0,0,0
180,14.74479167,6.91400025,8.432,2.523453362,0,0,0,0,0
181,16.15,4.35643275,2.72,1.852750579,0,0,0,0,0
182,17.97083333,9.484032,0.17,3.831668621,0,0,0,0,0
183,20.01458333,9.65529225,0,4.503261708,0,0,0,0,0
184,19.19270833,4.51608975,3.587,1.830445102,0,0,0,0,0
185,18.08333333,6.54657975,0.799,2.967552663,0,0,0,0,0
186,20.65625,9.298278,1.054,4.502186897,0,0,0,0,0
187,18.02,5.9766795,7.055,2.682754124,0,0,0,0,0
188,17.37104167,8.90897475,0.102,3.827224303,0,0,0,0,0
189,17.203125,7.104348,0.578,3.066091955,0,0,0,0,0
190,17.92291667,8.72664525,0,3.571566783,0,0,0,0,0
191,17.19583333,6.47229,1.224,2.808553765,0,0,0,0,0
192,18.33520833,10.33209525,0.102,4.407552764,0,0,0,0,0
193,15.95291667,2.94045225,10.523,1.111628918,0,0,0,0,0
194,15.11020833,6.19915725,0.408,2.343852274,0,0,0,0,0
195,16.16604167,3.30220425,15.215,1.186839971,0,0,0,0,0
196,18.39333333,5.591553,0,2.480627703,0,0,0,0,0
197,16.406875,1.79033025,0.323,0.76799284,0,0,0,0,0
198,17.32479167,4.587228,0,1.899111511,0,0,0,0,0
199,20.34666667,11.06760525,0.051,5.230053806,0,0,0,0,0
200,22.19291667,11.18825025,0.017,5.565060885,0,0,0,0,0
201,22.13645833,11.0461755,0,5.318865695,0,0,0,0,0
202,21.28416667,10.86149775,0,5.105150883,0,0,0,0,0
203,21.42854167,10.91489775,0.017,5.259551947,0,0,0,0,0
204,23.3325,9.460053,0,5.047830805,0,0,0,0,0
205,20.97729167,7.95530475,0,3.906466752,0,0,0,0,0
206,18.670625,6.60441975,0.986,3.088363112,0,0,0,0,0
207,19.73291667,7.3895775,0,3.52957723,0,0,0,0,0
208,18.10541667,4.261122,1.173,1.960424319,0,0,0,0,0
209,18.82854167,7.034073,1.683,3.287748424,0,0,0,0,0
210,18.62104167,10.113855,0,4.306664159,0,0,0,0,0
211,18.895625,7.6496205,0,3.810834925,0,0,0,0,0
212,15.65520833,5.1129975,0.017,2.132689434,0,0,0,0,0
213,15.81229167,6.6531045,0.204,2.843495476,0,0,0,0,0
214,17.49041667,8.7630525,0.102,3.948384833,0,0,0,0,0
215,15.65916667,3.51190275,4.573,1.461612477,0,0,0,0,0
216,16.25416667,4.8542325,29.014,1.869477942,0,0,0,0,0
217,18.23520833,6.2937555,0.153,2.989597371,0,0,0,0,0
218,18.62541667,6.9053025,0.204,3.435961363,0,0,0,0,0
219,17.50458333,7.05994275,1.343,3.439858464,0,0,0,0,0
220,16.63333333,8.25242775,0.289,3.579670035,0,0,0,0,0
221,17.47375,8.40322725,0.034,3.654630661,0,0,0,0,0
222,19.321875,9.65145,0.034,4.305168886,0,0,0,0,0
223,21.0475,9.974427,0.017,4.484212781,0,0,0,0,0
224,22.91583333,8.78175525,0.017,4.418439707,0,0,0,0,0
225,23.965,6.7865475,0.017,3.34305728,0,0,0,0,0
226,24.9975,9.2221545,0,4.51983364,0,0,0,0,0
227,24.145,8.5441725,0,4.816054808,0,0,0,0,0
228,18.61,5.35395,0.255,2.964816932,0,0,0,0,0
229,16.45583333,4.73475525,0,2.430460544,0,0,0,0,0
230,15.92708333,2.5647795,0,1.335960928,0,0,0,0,0
231,15.736875,6.10935,0.034,2.552188323,0,0,0,0,0
232,18.49958333,9.00747525,0.017,4.060387903,0,0,0,0,0
233,20.28833333,7.3720575,0.068,3.801452705,0,0,0,0,0
234,18.916875,6.5430975,0,3.182712008,0,0,0,0,0
235,15.52708333,5.6957475,0.034,2.438055353,0,0,0,0,0
236,17.99270833,6.62466975,0.102,3.172521274,0,0,0,0,0
237,17.26291667,8.48442525,0.034,3.891659773,0,0,0,0,0
238,16.82875,8.85322275,0.085,3.952292314,0,0,0,0,0
239,15.41083333,6.8135025,0,3.028797461,0,0,0,0,0
240,13.8455625,6.93500475,0.034,2.9531378,0,0,0,0,0
241,13.124625,4.3127025,0.017,1.842143536,0,0,0,0,0
242,14.058125,3.58997775,0.068,1.593332061,0,0,0,0,0
243,16.17395833,6.18953025,0.136,2.826321257,0,0,0,0,0
244,17.19354167,8.60862225,0.034,4.128172399,0,0,0,0,0
245,19.41666667,6.78057675,0,3.581708849,0,0,0,0,0
246,20.81520833,5.90013225,0.782,2.967365136,0,0,0,0,0
247,19.40666667,5.89740975,0.034,2.83695054,0,0,0,0,0
248,20.621875,8.1776295,0.119,4.05215558,0,0,0,0,0
249,21.73020833,8.16847725,0.034,4.459082481,0,0,0,0,0
250,22.7575,7.993902,0,4.750463025,0,0,0,0,0
251,21.7075,5.86499475,72.365,3.180299255,0,0,0,0,0
252,19.42208333,3.52212,3.434,1.658906385,0,0,0,0,0
253,19.04604167,5.0296995,16.558,2.219425553,0,0,0,0,0
254,17.86104167,6.9611175,0.204,3.021834347,0,0,0,0,0
255,17.31333333,7.3203225,0.119,3.234803527,0,0,0,0,0
256,20.21625,7.2443475,0.119,3.545923618,0,0,0,0,0
257,21.983125,5.2470255,6.562,2.792885194,0,0,0,0,0
258,19.68895833,4.29488475,14.892,1.882342183,0,0,0,0,0
259,18.44729167,4.82736,0.085,2.059812284,0,0,0,0,0
260,16.813125,6.48417525,0.119,2.833100328,0,0,0,0,0
261,16.85020833,5.022165,19.686,2.416586721,0,0,0,0,0
262,13.53791667,1.03368525,36.193,0.387053153,0,0,0,0,0
263,13.80395833,2.1994725,3.723,0.789886768,0,0,0,0,0
264,14.33208333,2.6304225,0.102,0.985416864,0,0,0,0,0
265,13.87395833,6.5423355,0.272,2.602444042,0,0,0,0,0
266,13.85360417,6.77422275,0.187,2.787852467,0,0,0,0,0
267,15.23325,6.75087525,0.136,2.964784467,0,0,0,0,0
268,15.97520833,3.61742025,1.479,1.634231887,0,0,0,0,0
269,18.10333333,4.95447,0.595,2.551426956,0,0,0,0,0
270,16.10958333,4.2053805,0.068,2.151724938,0,0,0,0,0
271,12.6725625,5.03052,0.085,1.990189312,0,0,0,0,0
272,13.85416667,4.61855475,0.748,2.23282068,0,0,0,0,0
273,10.04416667,6.0380055,0.068,2.363964057,0,0,0,0,0
274,11.34077083,4.68254775,0.068,2.146517503,0,0,0,0,0
275,16.95166667,4.26367275,0.187,2.577773124,0,0,0,0,0
276,16.061875,1.092435,6.919,1.175512305,0,0,0,0,0
277,13.17895833,4.3022775,0.068,1.83385802,0,0,0,0,0
278,12.88958333,3.034575,2.091,1.474472646,0,0,0,0,0
279,10.9290625,4.53867225,0.102,1.924993519,0,0,0,0,0
280,9.360125,4.29945525,0.068,1.657823433,0,0,0,0,0
281,10.581875,5.06862,0.17,2.002079626,0,0,0,0,0
282,11.22945833,5.11458,0.102,2.015692421,0,0,0,0,0
283,8.541333333,4.529823,0.187,1.645605965,0,0,0,0,0
284,6.453895833,2.51502225,0.102,0.904820783,0,0,0,0,0
285,7.355604167,3.6222825,0.102,1.27709688,0,0,0,0,0
286,9.660458333,4.10110275,0,1.601668704,0,0,0,0,0
287,6.990833333,5.22240225,0.102,2.034302396,0,0,0,0,0
288,7.4025,4.69095,0.051,1.848272071,0,0,0,0,0
289,7.834979167,4.94887725,0.085,1.951886743,0,0,0,0,0
290,10.34891667,4.66665225,0.204,1.945908002,0,0,0,0,0
291,12.30395833,3.863628,0.068,1.76242818,0,0,0,0,0
292,17.94375,4.5237,0,2.619627707,0,0,0,0,0
293,17.336875,1.728645,10.268,1.663063092,0,0,0,0,0
294,13.90020833,3.80019975,3.026,2.536154291,0,0,0,0,0
295,7.226583333,4.41276975,0.102,1.459428672,0,0,0,0,0
296,6.8800625,4.106028,0,1.610544325,0,0,0,0,0
297,7.4395625,4.537995,0.17,1.87044818,0,0,0,0,0
298,10.28991667,2.3264025,0.119,1.061154502,0,0,0,0,0
299,11.4486875,3.46980225,0.136,1.388391502,0,0,0,0,0
300,7.703708333,4.23472725,0.102,1.692246479,0,0,0,0,0
301,10.72489583,3.91257225,0.17,1.810739373,0,0,0,0,0
302,12.198,1.7068275,0.136,1.10570246,0,0,0,0,0
303,14.72,1.8726075,7.752,0.95265269,0,0,0,0,0
304,14.69458333,3.125025,5.525,1.915886055,0,0,0,0,0
305,10.87354167,2.4107805,0.136,1.226236307,0,0,0,0,0
306,9.786395833,2.22246975,7.004,1.164457832,0,0,0,0,0
307,7.16625,1.86853275,5.712,0.632588049,0,0,0,0,0
308,5.349875,1.69395,0.17,0.551509497,0,0,0,0,0
309,6.9389375,1.2597525,1.836,0.47056433,0,0,0,0,0
310,4.432958333,2.37237975,0.204,0.764046293,0,0,0,0,0
311,6.309375,1.3733475,0.952,0.492646155,0,0,0,0,0
312,6.446354167,2.54832,0.068,0.934754184,0,0,0,0,0
313,2.1028125,3.0909975,0.119,0.923083851,0,0,0,0,0
314,2.991104167,2.53307475,0.221,0.862473683,0,0,0,0,0
315,6.7725625,2.66871975,0,1.032273716,0,0,0,0,0
316,6.356125,3.0831075,0.102,1.262741346,0,0,0,0,0
317,9.644375,1.39807275,1.853,0.55380233,0,0,0,0,0
318,9.022854167,1.09061925,3.383,0.418458607,0,0,0,0,0
319,7.771416667,0.57265275,0.221,0.256819316,0,0,0,0,0
320,6.093333333,0.53320275,0.476,0.227691044,0,0,0,0,0
321,6.655395833,0.7414275,0.901,0.280733779,0,0,0,0,0
322,7.667520833,0.523167,0.119,0.225272617,0,0,0,0,0
323,3.095083333,2.238528,0.221,0.603249336,0,0,0,0,0
324,3.486354167,1.50650025,0.051,0.427050535,0,0,0,0,0
325,2.583875,0.511038,0.442,0.171023003,0,0,0,0,0
326,5.265020833,0.45145275,0.289,0.244122693,0,0,0,0,0
327,3.662375,1.67523,0,0.702727455,0,0,0,0,0
328,0.8210625,2.40542475,0.119,0.657255009,0,0,0,0,0
329,1.571645833,0.6816825,0.986,0.222031222,0,0,0,0,0
330,3.720979167,1.065105,1.224,0.443610858,0,0,0,0,0
331,3.033333333,1.06838025,9.163,0.356768392,0,0,0,0,0
332,2.101958333,0.50646225,5.049,0.171312,0,0,0,0,0
333,-0.401916667,1.29729225,0.085,0.381014238,0,0,0,0,0
334,2.165020833,1.3185255,0.051,0.688640726,0,0,0,0,0
335,7.0608125,0.87074475,4.335,0.549899724,0,0,0,0,0
336,3.665166667,1.3639125,1.666,0.48242509,0,0,0,0,0
337,1.434395833,1.11201225,7.888,0.319220354,0,0,0,0,0
338,8.007333333,0.90856725,9.809,0.402367584,0,0,0,0,0
339,3.7189375,0.9844005,8.347,0.359452145,0,0,0,0,0
340,4.749541667,1.032375,2.295,0.406613312,0,0,0,0,0
341,6.310125,1.21002,6.375,0.550976053,0,0,0,0,0
342,5.289833333,1.11119475,2.04,0.529847164,0,0,0,0,0
343,3.176170213,1.982446468,0.153,0.742096619,0,0,0,0,0
344,5.089041667,1.1787975,15.079,0.565939101,0,0,0,0,0
345,2.295416667,1.5,0.306,0.440554455,0,0,0,0,0
346,6.565145833,1.21202025,0.068,0.445795179,0,0,0,0,0
347,6.28793617,1.756488255,0,0.560325129,0,0,0,0,0
348,2.523104167,0.9319425,0.051,0.278068545,0,0,0,0,0
349,0.642916667,0.58278525,0.119,0.165915728,0,0,0,0,0
350,3.113333333,0.47001,0.068,0.161071718,0,0,0,0,0
351,1.985604167,1.28400225,0.153,0.360171668,0,0,0,0,0
352,1.7116875,1.99970475,0.136,0.57906484,0,0,0,0,0
353,0.41975,0.56859675,0.085,0.159639928,0,0,0,0,0
354,-0.0155625,0.48165525,0.017,0.145747784,0,0,0,0,0
355,-1.383791667,0.73937475,0,0.21206778,0,0,0,0,0
356,-1.4544375,1.64865225,0,0.392237392,0,0,0,0,0
357,6.137958333,1.99737225,0.085,1.121882318,0,0,0,0,0
358,10.02,0.9124425,5.797,0.504388079,0,0,0,0,0
359,7.445354167,0.68882775,1.173,0.312457502,0,0,0,0,0
360,8.977125,0.89630475,1.751,0.412740927,0,0,0,0,0
361,9.5330625,0.8558355,10.948,0.524786521,0,0,0,0,0
362,11.46729167,0.55172775,12.444,0.56349976,0,0,0,0,0
363,12.745625,0.51307725,14.569,0.2750699,0,0,0,0,0
364,12.80791667,1.27319775,0,0.667719384,0,0,0,0,0
365,8.40875,2.3448075,0.136,0.992404502,0,0,0,0,0
