DOY,Temperature,PARi,PP,PET,eta,lai,gcut_height,grazing_animal_count,grazing_avg_animal_weight
333,-0.401916667,1.29729225,0.085,0.381014238,0.190507119,1.11097875,0,0,0
334,2.165020833,1.3185255,0.051,0.688640726,0.344320363,1.10006971875,0,0,0
335,7.0608125,0.87074475,4.335,0.549899724,0.274949862,1.074153375,0,0,0
336,3.665166667,1.3639125,1.666,0.48242509,0.241212545,1.21311608975,0,0,0
337,1.434395833,1.11201225,7.888,0.319220354,0.159610177,1.18997671475,0,0,0
338,8.007333333,0.90856725,9.809,0.402367584,0.201183792,1.2384751835,0,0,0
339,3.7189375,0.9844005,8.347,0.359452145,0.1797260725,1.2764068085,0,0,0
340,4.749541667,1.032375,2.295,0.406613312,0.203306656,1.372917777875,0,0,0
341,6.310125,1.21002,6.375,0.550976053,0.2754880265,1.360363715375,0,0,0
342,5.289833333,1.11119475,2.04,0.529847164,0.264923582,1.281959371625,0,0,0
343,3.176170213,1.982446468,0.153,0.742096619,0.3710483095,1.201811277875,0,0,0
344,5.089041667,1.1787975,15.079,0.565939101,0.2829695505,1.114505750625,0,0,0
345,2.295416667,1.5,0.306,0.440554455,0.2202772275,1.217119156875,0,0,0
346,6.565145833,1.21202025,0.068,0.445795179,0.2228975895,1.100693750625,0,0,0
347,6.28793617,1.756488255,0,0.560325129,0.2801625645,1.009398125625,0,0,0
348,2.523104167,0.9319425,0.051,0.278068545,0.1390342725,0.8822589375,0,0,0
349,0.642916667,0.58278525,0.119,0.165915728,0.082957864,0.97184765625,0,0,0
350,3.113333333,0.47001,0.068,0.161071718,0.080535859,1.14867103125,0,0,0
351,1.985604167,1.28400225,0.153,0.360171668,0.180085834,1.20397509375,0,0,0
352,1.7116875,1.99970475,0.136,0.57906484,0.28953242,1.12957828125,0,0,0
353,0.41975,0.56859675,0.085,0.159639928,0.079819964,0.99165328125,0,0,0
354,-0.0155625,0.48165525,0.017,0.145747784,0.072873892,1.027558125,0,0,0
355,-1.383791667,0.73937475,0,0.21206778,0.10603389,1.0363171875,0,0,0
356,-1.4544375,1.64865225,0,0.392237392,0.196118696,1.00803,0,0,0
357,6.137958333,1.99737225,0.085,1.121882318,0.560941159,0.9610981875,0,0,0
358,10.02,0.9124425,5.797,0.504388079,0.2521940395,1.00452759375,0,0,0
359,7.445354167,0.68882775,1.173,0.312457502,0.156228751,1.01768260714286,0,0,0
360,8.977125,0.89630475,1.751,0.412740927,0.2063704635,1.07249175,0,0,0
361,9.5330625,0.8558355,10.948,0.524786521,0.2623932605,1.10772915,0,0,0
362,11.46729167,0.55172775,12.444,0.56349976,0.28174988,1.1707025625,0,0,0
363,12.745625,0.51307725,14.569,0.2750699,0.13753495,1.3770275,0,0,0
364,12.80791667,1.27319775,0,0.667719384,0.333859692,1.809002625,0,0,0
365,8.40875,2.3448075,0.136,0.992404502,0.496202251,2.3448075,0,0,0
