"day","Mean biomass (kg DM/ha)","Mean green vegetative biomass (kg DM/ha)","Mean green reproductive biomass (kg DM/ha)","Mean dry vegetative biomass (kg DM/ha)","Mean dry reproductive biomass (kg DM/ha)","Harvested Biomass (kg DM/ha)","Ingested Biomass (kg DM/ha)","Mean GRO biomass (kg DM/ha)","Mean available biomass for cut (kg DM/ha)"
36,1867.7334182870275,594.9518390840279,0.0,881.990112478662,390.79146672433734,0.0,0.0,14.344557810256333,1117.7334182870272
37,1847.0021318273664,590.4714380823763,0.0,870.0179783655464,386.5127153794438,0.0,0.0,7.755557535115191,1097.0021318273664
38,1843.5435443983174,597.9967448985944,0.0,861.963729717632,383.5830697820912,0.0,0.0,16.083107054336345,1093.5435443983176
39,1852.4705682583788,612.9162115086152,0.0,857.0619574785222,382.4923992712413,0.0,0.0,14.919466610020784,1102.4705682583788
40,1856.513183756633,622.5022805427373,0.0,852.5298138465188,381.4810893673769,0.0,0.0,9.586069034122039,1106.513183756633
41,1855.24021281059,627.4382027277352,0.0,847.4560892247854,380.3459208580693,0.0,0.0,4.935922184997912,1105.2402128105898
42,1854.3154316435896,625.1262498102342,0.0,848.8432609752861,380.3459208580693,0.0,0.0,6.711600206320374,1104.3154316435896
43,1853.2548424481615,622.474776821664,0.0,850.4341447684282,380.3459208580693,0.0,0.0,0.2434456952282692,1103.2548424481615
44,1851.322493998474,617.6439056974453,0.0,853.3326674429594,380.3459208580693,0.0,0.0,0.0,1101.322493998474
45,1851.0956642741066,617.0768313865269,0.0,853.6729120295105,380.3459208580693,0.0,0.0,0.0,1101.0956642741066
46,1820.6389289146637,603.3716552409115,0.0,841.4713597518573,375.79591392189457,0.0,0.0,0.0,1070.6389289146634
47,1788.1981539685703,588.4684586360528,0.0,828.7672684556743,370.96242687684327,0.0,0.0,0.0,1038.1981539685703
48,1751.7424721961718,571.3779511023552,0.0,814.818771648285,365.5457494455315,0.0,0.0,0.0,1001.7424721961715
49,1709.2577319000186,551.0451801030772,0.0,798.9605063293556,359.25204546758573,0.0,0.0,0.0,959.2577319000185
50,1671.0724573799027,533.1321423501495,0.0,784.5452005659314,353.395114463822,0.0,0.0,1.4799626572011024,921.0724573799029
51,1635.2681806622518,520.812010138666,0.0,767.9422111200076,346.51395940357804,0.0,0.0,10.929288414701109,885.2681806622517
52,1613.8243025105098,522.4995236294893,0.0,751.6922618543605,339.6325170266599,0.0,0.0,25.439639271479514,863.8243025105097
53,1589.3795749877963,522.3305640304754,0.0,734.7457636497945,332.3032473075264,0.0,0.0,25.658606775294686,839.3795749877963
54,1587.9263146621238,544.023653570322,0.0,718.7007341808987,325.20192691090307,0.0,0.0,47.28976366791988,837.9263146621238
55,1609.08512859219,584.0273332412658,0.0,705.7375314638672,319.3202638870572,0.0,0.0,61.726862579857396,859.0851285921901
56,1636.3468707153643,629.2746976362673,0.0,693.4658559287129,313.60631715038403,0.0,0.0,66.88968366100886,886.3468707153643
57,1631.5687421968832,633.0953373405839,0.0,687.659448153863,310.8139567024364,0.0,0.0,14.72543225173502,881.5687421968832
58,1695.7767953751509,705.2828349557333,0.0,682.3016805900218,308.19227982939594,0.0,0.0,82.59228996790347,945.776795375151
59,1769.8855421911144,785.1900166549459,0.0,678.4335117412423,306.2620137949261,0.0,0.0,87.70484480711116,1019.8855421911144
60,1841.423287357873,867.568400125041,0.0,671.2467228226454,302.60816441018676,0.0,0.0,97.38050130724149,1091.423287357873
61,1900.6051194479278,938.1517017480285,0.0,663.8022522127429,298.65116548715645,0.0,0.0,87.43395698170141,1150.6051194479278
62,1938.753906801898,984.8409405894624,0.0,658.3391583314032,295.57380788103256,0.0,0.0,60.38389193716924,1188.7539068018982
63,1959.7711316185957,1015.5947688997708,0.0,652.2271117870671,291.94925093175794,0.0,0.0,47.477314359505165,1209.7711316185957
64,1964.2002765277277,1025.4440742649952,0.0,648.9106920159725,289.8455102467601,0.0,0.0,19.98809460248438,1214.2002765277277
65,2013.1896349474634,1082.8083259366667,0.0,642.0647247727711,288.3165842380256,0.0,0.0,57.36425167167163,1263.1896349474634
66,2024.785577749207,1098.730351957961,0.0,639.5339709036285,286.5212548876178,0.0,0.0,25.031092614175616,1274.785577749207
67,2049.7352455261566,1128.302832532837,0.0,636.878180243384,284.55423274993575,0.0,0.0,39.78123155177789,1299.7352455261566
68,2077.516202431007,1160.586917474493,0.0,633.1973428006673,283.73194215584664,0.0,0.0,32.284084941655955,1327.5162024310068
69,2095.629095009981,1183.3030836989692,0.0,630.6950598537134,281.6309514572986,0.0,0.0,34.174785934066435,1345.629095009981
70,2079.247281534158,1176.1882482622268,0.0,625.8042747629977,277.2547585089333,0.0,0.0,17.401232293582698,1329.2472815341578
71,2087.1276661638376,1190.4825624368698,0.0,622.6153292479545,274.02977447901344,0.0,0.0,33.24359678998848,1337.1276661638378
72,2081.0918911388285,1190.3878896899018,0.0,619.8462843146862,270.85771713424026,0.0,0.0,19.314059410574206,1331.0918911388285
73,2093.885959917594,1207.3813911659263,0.0,618.0322362821029,268.4723324695646,0.0,0.0,32.166256870334756,1343.885959917594
74,2084.9761640501965,1202.9903204914724,0.0,616.2095438108605,265.7762997478637,0.0,0.0,13.258965109390136,1334.9761640501968
75,2091.479361701296,1213.524146010971,0.0,614.7271112465719,263.2281044437531,0.0,0.0,27.756637164837123,1341.479361701296
76,2089.6008618900355,1215.6140155094117,0.0,613.416185942786,260.57066043783806,0.0,0.0,20.59177793196108,1339.6008618900357
77,2102.9961606107295,1237.765748843339,0.0,606.1937470930858,259.0366646743045,0.0,0.0,22.151733333927215,1352.9961606107295
78,2122.9384290501284,1265.8774561767414,0.0,599.4624959511458,257.5984769222412,0.0,0.0,28.111707333402432,1372.9384290501282
